Fighter,Date,Win,Weight Class,Gender,Win Difference,Loss Difference,Total Rounds Fought Diff,Height Difference,Reach Difference,Age Difference,Sig. Strike Difference,Sub. Attempt Diff,TD Diff,Weight Difference
Erick Silva,12/16/2017,0,Welterweight,MALE,4,3,10,0,1,5,-12.85714286,0.571428571,-0.970714286,0
Brian Ortega,12/9/2017,1,Featherweight,MALE,-6,-2,-27,0,-1,-8,-26.07692308,1.046153846,-0.780153846,0
Gabriel Benitez,12/9/2017,1,Featherweight,MALE,-1,0,-3,-2,0,4,-6.7,-0.6,-1.5,0
Aljamain Sterling,12/9/2017,0,Bantamweight,MALE,5,1,17,1,4,-1,5.625,0.375,0.0575,0
Darrell Horcher,12/9/2017,0,Lightweight,MALE,-2,-1,-10,1,1,-4,-44.7,0.6,-2.2,0
Markus Perez,12/9/2017,0,Middleweight,MALE,-1,0,-1,0,-2,-1,-23,0,-1,0
Benito Lopez,12/9/2017,1,Bantamweight,MALE,-1,-3,-11,1,1,-3,-45.25,0,-0.5,0
Liz Carmouche,12/9/2017,0,Women's Flyweight,FEMALE,-2,1,-2,0,-2,0,-6.42857143,-0.666666667,0.016904762,0
Andre Soukhamthath,12/9/2017,1,Bantamweight,MALE,-1,1,3,3,3,-2,-15.5,-0.5,-0.5,0
Alex Perez,12/9/2017,1,Bantamweight,MALE,0,-1,-3,1,-6,4,-30,0,-2,10
Merab Dvalishvili,12/9/2017,0,Bantamweight,MALE,-3,-3,-18,0,2,-11,-57,-0.166666667,-1.666666667,0
Iuri Alcantara,12/9/2017,0,Bantamweight,MALE,5,4,21,3,4,9,-11.13333333,0.366666666,-0.089333333,0
Davi Ramos,12/9/2017,1,Lightweight,MALE,-1,0,-2,-2,2,0,-30.5,0,0,0
Trevin Giles,12/9/2017,1,Middleweight,MALE,0,-1,-2,-3,-3,-5,30,-0.5,-1,0
Jose Aldo,12/2/2017,0,Featherweight,MALE,-6,-1,-4,-4,1,6,-12.01176471,-0.111764706,0.002705882,-10
Francis Ngannou,12/2/2017,1,Heavyweight,MALE,-3,-4,-17,0,3,-6,-18.73333333,0.116666667,-0.25,-15
Sergio Pettis,12/2/2017,0,Flyweight,MALE,2,0,10,2,5,-6,10.25396825,0.412698413,-1.492698413,0
Justin Gaethje,12/2/2017,0,Lightweight,MALE,-2,-3,-12,2,1,-4,67.5,0,-1.833333333,0
Michelle Waterson,12/2/2017,0,Women's Strawweight,FEMALE,-3,0,-11,2,2,3,-33.33333333,1.833333333,0.333333333,0
Paul Felder,12/2/2017,1,Lightweight,MALE,-4,-5,-12,1,-4,5,17.61111111,-0.944444445,-1.166666666,0
Yancy Medeiros,12/2/2017,1,Welterweight,MALE,-2,2,-5,-1,-1,1,4.8,-0.2,-2.1,-15
Drakkar Klose,12/2/2017,0,Lightweight,MALE,-2,0,-4,0,-3,1,16.66666667,0,0,0
Cortney Casey,12/2/2017,0,Women's Strawweight,FEMALE,-1,2,2,3,2,-3,18.8,-1.033333333,-1.033333333,0
Angela Magana,12/2/2017,0,Women's Strawweight,FEMALE,-1,0,1,-2,1,8,-3.16666667,-0.5,-0.166666667,0
Abdul Razak Alhassan,12/2/2017,1,Welterweight,MALE,1,0,2,-2,1,3,-5.5,0,-2,0
Dominick Reyes,12/2/2017,1,Light Heavyweight,MALE,-1,-1,-2,4,5,1,-11,0,0,0
Allen Crowder,12/2/2017,0,Heavyweight,MALE,-1,0,-3,2,-2,-2,-52,0,-3,-19
Roxanne Modafferi,12/1/2017,0,Women's Flyweight,FEMALE,0,1,3,2,4,7,42,0,0,0
Terrion Ware,12/1/2017,0,Bantamweight,MALE,0,1,3,-3,-1,8,60,0,0,0
Lauren Murphy,12/1/2017,1,Women's Flyweight,FEMALE,1,3,12,3,2,-4,56.75,0,0.2,0
Gerald Meerschaert,12/1/2017,1,Middleweight,MALE,0,0,1,0,4,-2,6.333333337,0,-0.543333334,0
Brett Johns,12/1/2017,1,Bantamweight,MALE,-1,-3,-10,1,6,-5,13,-1,-0.001666667,0
Montana De La Rosa,12/1/2017,1,Women's Flyweight,FEMALE,0,0,0,0,-1,-10,0,0,0,0
Ryan Janes,12/1/2017,1,Middleweight,MALE,-1,1,-2,2,2,7,0,0,-3,0
Rachael Ostovich,12/1/2017,1,Women's Flyweight,FEMALE,0,0,0,-1,-1,-2,0,0,0,0
Shana Dobson,12/1/2017,1,Women's Flyweight,FEMALE,0,0,0,0,3,1,0,0,0,0
Emily Whitmire,12/1/2017,0,Women's Flyweight,FEMALE,0,0,0,0,0,4,0,0,0,-10
Kelvin Gastelum,11/25/2017,1,Middleweight,MALE,-12,-4,-47,-4,-4,-12,-8.21428571,-0.011904762,-0.665238096,0
Zak Ottow,11/25/2017,0,Welterweight,MALE,-2,-1,-4,-1,1,1,8.83333334,0.333333333,-0.78,0
Alex Caceres,11/25/2017,0,Featherweight,MALE,8,9,45,1,2,-2,46.41176471,0.764705882,0.254705882,0
Alex Garcia,11/25/2017,1,Welterweight,MALE,4,3,17,-2,2,-3,24,0,0.437142857,0
Sheymon Moraes,11/25/2017,0,Featherweight,MALE,-1,0,-2,-5,-1,1,-45,-2,-1,0
Bobby Nash,11/25/2017,0,Welterweight,MALE,0,2,4,0,3,0,32,1,0.325,0
Yan Xiaonan,11/25/2017,1,Women's Strawweight,FEMALE,-1,-5,-15,1,-2,2,-44.66666667,-0.5,-1.5,0
Bharat Kandare,11/25/2017,0,Featherweight,MALE,0,0,0,-1,5,11,0,0,0,0
Shamil Abdurakhimov,11/25/2017,1,Heavyweight,MALE,0,0,1,-1,-2,8,-40,0.25,0.12,-15
Gina Mazany,11/25/2017,1,Women's Bantamweight,FEMALE,0,1,1,-2,2,8,0,0,0,10
Rolando Dy,11/25/2017,1,Featherweight,MALE,0,2,5,-1,0,-1,34,0,0.125,10
Hu Yaozong,11/25/2017,0,Heavyweight,MALE,-1,-2,-3,3,-2,-9,-11.33333333,0,-0.333333333,-42
Marcin Tybura,11/18/2017,0,Heavyweight,MALE,-7,-3,-20,-1,1,-8,-4,-0.285714286,-0.198928571,18
Jessica-Rose Clark,11/18/2017,1,Women's Flyweight,FEMALE,-2,-3,-12,-1,0,1,-45,-0.2,-0.4,0
Belal Muhammad,11/18/2017,1,Welterweight,MALE,-6,-4,-21,-3,-3,-4,10.2,-0.133333333,-0.187333333,0
Bojan Velickovic,11/18/2017,0,Welterweight,MALE,-2,0,0,1,3,5,3.48571429,-0.171428571,-1.238571429,0
Daniel Kelly,11/18/2017,0,Middleweight,MALE,1,0,-1,-1,-5,11,-3.96428571,0.125,-1.622142857,0
Shane Young,11/18/2017,0,Catch Weight,MALE,-2,0,-5,2,1,-5,-68.5,0,-3.5,0
Ashkan Mokhtarian,11/18/2017,0,Flyweight,MALE,-2,-2,-8,1,-1,4,-8.2,-0.2,0.13,0
Will Brooks,11/18/2017,0,Lightweight,MALE,-10,-5,-42,2,4,-2,-6.94444445,-1.166666667,-3.057777778,0
Tai Tuivasa,11/18/2017,1,Heavyweight,MALE,0,-1,-2,3,-1,-11,-36,0,0,59
Frank Camacho,11/18/2017,1,Lightweight,MALE,-2,-2,-8,0,5,-4,-23,-0.5,-0.25,15
Nadia Kassem,11/18/2017,1,Women's Strawweight,FEMALE,-1,-2,-7,2,3,-17,-28.66666667,-1,-1,10
Eric Shelton,11/18/2017,1,Flyweight,MALE,-1,1,0,1,0,-3,-1.5,0,-0.085,0
Adam Wieczorek,11/18/2017,1,Heavyweight,MALE,-3,-6,-14,0,5,-12,-23.77777778,0,-1,-10
Anthony Pettis,11/11/2017,0,Lightweight,MALE,-6,0,-5,1,0,2,-8.41666667,-0.277777778,-0.958888889,15
Diego Sanchez,11/11/2017,0,Welterweight,MALE,3,0,16,-2,-3,-1,-1.14548495,-0.351170569,-0.761923077,0
Andrei Arlovski,11/11/2017,1,Heavyweight,MALE,13,9,43,0,3,12,0.65217391,0.217391304,0.108695652,-24
Cezar Ferreira,11/11/2017,1,Middleweight,MALE,-6,-7,-27,1,4,-6,-8.59469697,-0.219696969,-0.949545455,0
Matthew Lopez,11/11/2017,0,Bantamweight,MALE,-7,-1,-22,2,3,-5,-17.63636364,0.818181818,-0.056666667,0
Clay Guida,11/11/2017,1,Lightweight,MALE,-1,1,16,-3,-1,2,7,-0.625,-1.00375,0
Marlon Moraes,11/11/2017,1,Bantamweight,MALE,-8,-2,-28,3,1,-4,-0.18181818,0,-0.636363636,0
Viviane Pereira,11/11/2017,0,Women's Strawweight,FEMALE,1,0,5,-4,-3,-2,36.5,-1,-2.5,0
Michel Quinones,11/11/2017,0,Lightweight,MALE,-3,-1,-8,-2,2,11,-4.2,-0.4,-0.8,-15
Nina Ansaroff,11/11/2017,1,Women's Strawweight,FEMALE,-1,-1,-4,2,0,-1,-2.06666667,1.333333333,0.3,0
Sean Strickland,11/11/2017,1,Welterweight,MALE,-2,-3,-14,2,1,-6,-12.57142857,-0.071428571,-1.512380953,0
Marcel Fortuna,11/11/2017,0,Light Heavyweight,MALE,-1,-2,-7,-2,-4,3,0.6,-0.4,-0.6,0
Karl Roberson,11/11/2017,1,Middleweight,MALE,0,-2,-4,1,0,1,-19,0,-1,20
Georges St-Pierre,11/4/2017,1,Middleweight,MALE,-1,-5,-7,-2,1,-2,2.93650793,0.91005291,-0.234391534,0
TJ Dillashaw,11/4/2017,1,Bantamweight,MALE,4,3,25,-2,2,5,34.73076923,0.923076923,-0.465641025,-10
Rose Namajunas,11/4/2017,1,Women's Strawweight,FEMALE,-4,2,-14,-1,0,-5,-88.375,1,0.41,-10
Jorge Masvidal,11/4/2017,0,Welterweight,MALE,1,2,8,-1,-1,-2,7.26623377,0.5,-0.100974026,0
Paulo Costa,11/4/2017,1,Middleweight,MALE,-11,-7,-51,4,3,-8,-10.4,-0.3,-3.05,0
Joe Duffy,11/4/2017,0,Lightweight,MALE,-3,0,-7,-5,-3,-1,-11.575,-0.025,-0.125,0
Mark Godbeer,11/4/2017,1,Heavyweight,MALE,-2,-4,-10,-1,0,-1,28.75,-0.125,0,-10
Corey Anderson,11/4/2017,0,Light Heavyweight,MALE,-3,-2,-11,0,-1,-6,30.00793651,-0.285714286,-0.122857143,0
Mickey Gall,11/4/2017,0,Welterweight,MALE,0,-2,-9,-1,-4,-2,-22.46666667,1.4,0.066666667,0
Curtis Blaydes,11/4/2017,1,Heavyweight,MALE,-2,1,1,2,0,-14,25.05,-1.2,-1.11,25
Ricardo Ramos,11/4/2017,1,Bantamweight,MALE,0,0,0,1,4,-7,1,1,0,0
Lyoto Machida,10/28/2017,0,Middleweight,MALE,6,4,36,0,-3,6,8.83982684,0.108225108,-0.888961039,0
Colby Covington,10/28/2017,1,Welterweight,MALE,-12,-6,-50,-2,0,-10,7.13461538,-0.673076923,-1.738942308,0
Rob Font,10/28/2017,0,Bantamweight,MALE,0,-2,-5,2,6,-1,6.85714286,-0.057142857,-0.517142857,0
Jim Miller,10/28/2017,0,Lightweight,MALE,6,6,29,-1,1,-5,-6.47407408,1.044444444,-0.377777778,0
Jack Hermansson,10/28/2017,0,Middleweight,MALE,-4,-3,-10,-1,1,-4,19.29545455,0,0.358181818,-20
Marlon Vera,10/28/2017,0,Bantamweight,MALE,-6,-1,-17,5,3,-3,-25.6025641,0.871794871,-0.213205129,0
Niko Price,10/28/2017,0,Welterweight,MALE,-2,-1,-7,1,1,3,-5.16666667,0.166666667,-0.916666667,0
Jack Marshman,10/28/2017,0,Middleweight,MALE,-2,-2,-12,-2,-6,0,17.42857143,-0.571428571,-3.285714286,0
Jared Gordon,10/28/2017,1,Lightweight,MALE,-2,-4,-19,1,-1,-4,36,-0.428571429,-2.197142857,0
Max Griffin,10/28/2017,0,Welterweight,MALE,-2,0,-8,0,3,1,-47.5,-0.25,-0.5,0
Jarred Brooks,10/28/2017,0,Flyweight,MALE,1,0,3,-2,-6,-5,27,1,0.62,0
Christian Colombo,10/28/2017,0,Heavyweight,MALE,0,2,6,2,5,12,39.5,0,0,16
Darren Till,10/21/2017,1,Welterweight,MALE,-16,-5,-42,-1,1,-10,-6.34,-0.4,-0.305,15
Jodie Esquibel,10/21/2017,0,Women's Strawweight,FEMALE,-3,-2,-15,-2,0,-1,-65.6,0,0,0
Devin Clark,10/21/2017,0,Light Heavyweight,MALE,0,-3,-9,-2,-3,-7,0.33333333,0.166666666,-0.423333333,0
Jonathan Wilson,10/21/2017,0,Middleweight,MALE,1,2,6,2,-1,3,33.33333333,0,0.333333333,20
Nasrat Haqparast,10/21/2017,0,Lightweight,MALE,0,-3,-9,1,1,-3,-28,-0.666666667,-3,0
Brian Kelleher,10/21/2017,1,Bantamweight,MALE,-1,-1,-8,1,-4,4,-11.5,-0.25,-2.085,0
Ramazan Emeev,10/21/2017,1,Middleweight,MALE,-8,-4,-25,-4,1,-1,-30.08333333,-0.083333333,0,-35
Andre Fili,10/21/2017,1,Featherweight,MALE,2,1,1,2,9,-4,-20.725,0.125,-0.11625,0
Warlley Alves,10/21/2017,1,Welterweight,MALE,4,2,15,1,0,-2,31.5,1,0.386666667,0
Aspen Ladd,10/21/2017,1,Women's Bantamweight,FEMALE,-1,-1,-5,-1,1,-13,-47,0,-0.5,0
Josh Emmett,10/21/2017,1,Featherweight,MALE,-3,-4,-16,-2,-3,3,31.56666667,-0.366666667,-0.68,10
Kevin Lee,10/7/2017,0,Lightweight,MALE,-3,1,-5,-2,1,-8,-15.80419581,0,-0.022447553,15
Ray Borg,10/7/2017,0,Flyweight,MALE,-9,0,-40,1,-3,-7,-44.82142857,0.946428571,-3.481071429,10
Walt Harris,10/7/2017,0,Heavyweight,MALE,-6,0,-17,1,0,-6,-25.89010989,-0.087912088,-0.538461538,19
Kalindra Faria,10/7/2017,0,Women's Flyweight,FEMALE,0,0,0,1,-7.18897638,0,0,0,0,0
Cody Stamann,10/7/2017,1,Bantamweight,MALE,0,0,1,-1,-4,3,58,0,0.66,0
Poliana Botelho,10/7/2017,1,Women's Strawweight,FEMALE,0,-1,-3,4,-1,-3,-37,-1,-2,0
Marco Beltran,10/7/2017,0,Flyweight,MALE,3,-1,7,0,-1,4,6,-0.25,-0.1875,-10
Magomed Bibulatov,10/7/2017,0,Flyweight,MALE,-5,-5,-28,-1,-1,-4,17.81818182,-0.909090909,-0.356363636,0
Brad Tavares,10/7/2017,1,Middleweight,MALE,-2,-2,-11,0,-4,-7,13.51587301,-0.944444444,-1.537063492,0
Yushin Okami,9/22/2017,0,Light Heavyweight,MALE,5,0,16,-1,-5,2,-1.11965812,0.213675213,-0.308974359,-35
Jessica Andrade,9/22/2017,1,Women's Strawweight,FEMALE,3,2,8,-3,-1,-3,15.92424242,-0.378787878,-3.96,0
Dong Hyun Ma,9/22/2017,1,Lightweight,MALE,-3,-6,-13,4,0,-10,10.58333333,0,0.47,0
Henrique da Silva,9/22/2017,0,Light Heavyweight,MALE,2,3,10,3,3,-5,32.8,0.2,0.066,0
Rolando Dy,9/22/2017,0,Featherweight,MALE,-2,-2,-10,1,0,1,-16.8,0,0.25,10
Ulka Sasaki,9/22/2017,0,Flyweight,MALE,-2,-1,-10,5,4,-5,0.83333334,0.333333334,-1.046666666,0
Alex Morono,9/22/2017,0,Welterweight,MALE,0,-4,-12,0,-1,-6,35.47619047,-0.238095238,-2,0
Chanmi Jeon,9/22/2017,0,Women's Strawweight,FEMALE,0,1,3,1,1,-8,92,0,0,0
Luke Jumeau,9/22/2017,0,Welterweight,MALE,0,-1,-1,4,2,-2,13,0,-1.5,0
Hyun Gyu Lim,9/22/2017,0,Welterweight,MALE,3,3,12,4,6,7,40.5,0.166666667,0.166666667,0
David Branch,9/16/2017,0,Middleweight,MALE,-2,0,2,-2,1,3,-10.51428571,-0.857142857,-0.032571429,0
Alex Reyes,9/16/2017,0,Welterweight,MALE,-3,-1,-9,1,2,4,-46,0,0,0
Anthony Smith,9/16/2017,1,Middleweight,MALE,0,-4,-10,7,5,-10,4.51111111,0.177777778,-1.475555556,20
Jason Gonzalez,9/16/2017,0,Lightweight,MALE,-1,1,-2,7,3,-3,-17.5,0.5,-2.5,0
Sergio Moraes,9/16/2017,0,Welterweight,MALE,1,2,8,0,-4,5,-22.875,-0.025,-3.70625,0
Zu Anyanwu,9/16/2017,0,Heavyweight,MALE,-2,0,-4,-3,-3,8,-58,-0.5,-0.5,46
Olivier Aubin-Mercier,9/16/2017,1,Lightweight,MALE,1,-1,2,-3,-3,1,2.71428572,-0.285714286,-0.858571429,-15
Daniel Spitz,9/16/2017,1,Heavyweight,MALE,-3,-4,-10,2,6,-10,24.25,0,-0.625,-15
Uriah Hall,9/16/2017,1,Middleweight,MALE,-1,4,1,-1,2,5,-6.98863636,0.181818182,-0.705454545,0
Gilbert Burns,9/16/2017,1,Lightweight,MALE,1,0,3,-1,0,0,0.63333333,0.833333333,-1.391666667,0
Valentina Shevchenko,9/9/2017,0,Women's Bantamweight,FEMALE,-4,0,1,-3,-3,0,15.75,-0.25,-0.035,-20
Rafael Dos Anjos,9/9/2017,1,Welterweight,MALE,3,3,15,-7,-10,2,-8.36363636,0.278409091,-1.8725,0
Wilson Reis,9/9/2017,0,Flyweight,MALE,2,1,7,0,1,2,-25.61111111,0.388888889,-1.403333333,-10
Tyson Pedro,9/9/2017,0,Light Heavyweight,MALE,-3,-3,-11,5,6,-9,3,0.25,-0.25,0
Gilbert Melendez,9/9/2017,0,Featherweight,MALE,-11,-9,-52,1,2,4,12.52,-0.4,-0.656,0
Ketlen Vieira,9/9/2017,1,Women's Bantamweight,FEMALE,-3,-3,-9,2,2,-10,24.75,-0.375,-1.32,0
Ashlee Evans-Smith,9/9/2017,0,Women's Bantamweight,FEMALE,1,1,4,1,0,1,35.25,-0.5,-0.15,-10
Rick Glenn,9/9/2017,1,Featherweight,MALE,0,1,3,6,4,-3,0,0,-1,0
Alex White,9/9/2017,1,Lightweight,MALE,0,-1,-1,2,-2,-3,18.8,-0.133333333,-0.35,0
Arjan Bhullar,9/9/2017,1,Heavyweight,MALE,-2,-2,-10,-1,1,7,-17.5,-1,-2.75,2
Adriano Martins,9/9/2017,0,Lightweight,MALE,2,1,2,-1,-3,1,-20.83333333,-0.166666666,-2.041666666,0
Stefan Struve,9/2/2017,0,Heavyweight,MALE,10,6,26,4,4,1,-60.55555556,1.111111111,-0.25,15
Rob Wilkinson,9/2/2017,0,Middleweight,MALE,-2,-2,-10,4,7,-8,-34,-0.25,-1,15
Talita Bernardo,9/2/2017,0,Women's Bantamweight,FEMALE,-3,-3,-16,-2,0,-10,-48.83333333,-0.5,-0.333333333,0
Bryan Barberena,9/2/2017,0,Welterweight,MALE,-1,0,-4,0,-2,2,34.71428571,-0.119047619,-0.921190476,0
Bojan Velickovic,9/2/2017,0,Welterweight,MALE,0,1,4,0,2,4,-0.75,0.5,-0.429166667,0
Felipe Silva,9/2/2017,0,Lightweight,MALE,-4,-1,-11,3,4,4,-14.5,0,-1.166666667,0
Mads Burnell,9/2/2017,0,Lightweight,MALE,-6,-2,-22,2,2,-13,-34.5,-0.25,-3.875,-25
Desmond Green,9/2/2017,0,Lightweight,MALE,-6,-2,-21,2,0,-3,31.11111111,-0.111111111,-3.055555556,0
Aleksandar Rakic,9/2/2017,1,Light Heavyweight,MALE,-4,-3,-18,3,3,-12,-31.42857143,0,-2.142857143,0
Zabit Magomedsharipov,9/2/2017,1,Featherweight,MALE,0,0,0,3,4,-2,0,0,0,0
Abdul-Kerim Edilov,9/2/2017,1,Light Heavyweight,MALE,0,-2,-4,3,5,-12,-12.5,0,0,0
Andrew Holbrook,9/2/2017,0,Lightweight,MALE,2,-1,3,1,-2,1,3,1.25,0.25,0
Brandon Moreno,8/5/2017,0,Flyweight,MALE,-3,-2,-17,1,1,0,-27.20833333,0.708333333,-0.915,-10
Alexa Grasso,8/5/2017,1,Women's Strawweight,FEMALE,-2,-2,-10,1,3,-8,31.66666667,0.166666667,-0.75,0
Niko Price,8/5/2017,1,Welterweight,MALE,-5,-2,-15,0,3,-8,-28.61111111,1,-0.208333333,0
Humberto Bandenay,8/5/2017,1,Featherweight,MALE,-1,0,-2,3,0.65354331,-1,-56,0,0,0
Rashad Evans,8/5/2017,0,Middleweight,MALE,7,3,36,-2,0,6,-0.8008658,-0.090909091,0.353809524,0
Andre Soukhamthath,8/5/2017,0,Bantamweight,MALE,-3,-1,-7,3,3,1,8.8,-0.2,-0.4,0
Jack Hermansson,8/5/2017,1,Middleweight,MALE,-1,-2,-9,0,1,1,-3.16666666,-0.5,0.053333334,15
Hector Sandoval,8/5/2017,0,Flyweight,MALE,-3,-4,-24,-3,-1,3,-17.86666667,0.566666667,-2.323333333,0
Rani Yahya,8/5/2017,1,Bantamweight,MALE,7,2,23,-2,-2,-4,-23.91666667,0.916666667,0.35,0
Diego Rivas,8/5/2017,0,Bantamweight,MALE,0,-1,-2,0,0,-2,-22,-1.333333333,-2.17,10
Roberto Sanchez,8/5/2017,0,Flyweight,MALE,0,0,0,0,-3,9,0,0,0,0
Jordan Rinaldi,8/5/2017,1,Lightweight,MALE,-1,0,0,-2,-2,2,10,1,0.28,-10
Demian Maia,7/29/2017,0,Welterweight,MALE,12,3,40,4,-2,4,-8.64,0.76,-0.0948,0
Tonya Evinger,7/29/2017,0,Women's Featherweight,FEMALE,-2,0,-3,-1,2,4,-55,0,-1,-10
Donald Cerrone,7/29/2017,0,Welterweight,MALE,7,0,1,2,-1,-1,-5.00245098,0.416666667,-0.630759804,-15
Volkan Oezdemir,7/29/2017,1,Light Heavyweight,MALE,-4,-2,-11,1,-4,-10,15.875,-0.25,-0.375,0
Jason Knight,7/29/2017,0,Featherweight,MALE,-4,-2,-12,2,0,-10,21.41818182,1.672727273,-0.630909091,0
Renan Barao,7/29/2017,0,Catch Weight,MALE,4,1,17,-1,-1,3,6.60714286,-0.75,-1.895357143,0
Renato Moicano,7/29/2017,0,Featherweight,MALE,0,-1,-2,3,3,2,20.25,-0.916666667,0.05,0
Calvin Kattar,7/29/2017,1,Featherweight,MALE,-4,-3,-15,0,-2,2,-30.57142857,-0.142857143,-1.714285714,0
Alexandra Albu,7/29/2017,1,Women's Strawweight,FEMALE,0,-4,-10,-2,-2,1,5.6,0.4,-1.6,0
Jarred Brooks,7/29/2017,1,Flyweight,MALE,0,-1,-3,-3,-6,-2,-32,0,-4,0
Drew Dober,7/29/2017,1,Lightweight,MALE,-3,-6,-27,-2,-2,-9,-3.93382353,-0.110294118,-1.95625,-15
Kelvin Gastelum,7/22/2017,0,Middleweight,MALE,-1,0,-1,-5,-7,-8,19.37121212,-0.484848485,-2.12939394,0
Darren Elkins,7/22/2017,1,Featherweight,MALE,3,0,10,4,5,3,-10.67788462,0.201923077,-2.570576923,-10
Gian Villante,7/22/2017,0,Light Heavyweight,MALE,0,1,6,1,0,-5,5.94444444,-0.111111111,-3.441666667,0
Thomas Almeida,7/22/2017,0,Bantamweight,MALE,1,1,0,3,2,-3,-10.83333333,0,-0.75,0
Elizeu Zaleski dos Santos,7/22/2017,1,Welterweight,MALE,1,1,7,-1,-1,-2,-0.66666667,1,0.333333333,0
Eryk Anders,7/22/2017,1,Middleweight,MALE,-9,-7,-43,1,-1,-4,-40.125,-0.4375,-2.25,0
Alex Oliveira,7/22/2017,1,Welterweight,MALE,0,2,-3,-2,2,-4,-27.07936508,0.26984127,-2.596031746,0
Chase Sherman,7/22/2017,1,Heavyweight,MALE,1,0,5,3,3,-10,59.66666667,0,0,9
Jeremy Kennedy,7/22/2017,1,Featherweight,MALE,1,-1,0,4,1,-6,-10,0,-0.385,0
Marlon Vera,7/22/2017,1,Bantamweight,MALE,2,2,13,2,4,-6,31.2,0.2,0.298,0
Junior Albini,7/22/2017,1,Heavyweight,MALE,-3,-2,-13,0,-3,-6,-37.6,0,-1.2,-1
Godofredo Pepey,7/22/2017,0,Featherweight,MALE,3,4,9,-4,-2,4,-60.22222222,0.888888889,-0.388888889,0
Chris Wade,7/22/2017,1,Lightweight,MALE,3,0,7,-1,-3,1,3,0.333333334,-0.165,0
Santiago Ponzinibbio,7/16/2017,1,Welterweight,MALE,-1,0,-3,1,1,2,19.59722222,-0.777777778,-1.069861111,0
Cynthia Calvillo,7/16/2017,1,Women's Strawweight,FEMALE,-1,-2,-7,-2,-1,-1,-36.1,3,-0.6,-10
Paul Felder,7/16/2017,1,Lightweight,MALE,0,2,6,1,0,6,-1.25,-0.291666667,-0.145833333,0
Ryan Janes,7/16/2017,0,Middleweight,MALE,0,0,0,3,3,8,18.5,0,0.5,0
Paul Craig,7/16/2017,0,Light Heavyweight,MALE,0,-1,-2,2,0,2,14.83333333,1.5,0.25,0
Justin Willis,7/16/2017,1,Heavyweight,MALE,0,0,0,3,5,0,0,0,0,21
Bobby Nash,7/16/2017,0,Welterweight,MALE,-2,0,-5,-1,0,-3,-10,1.666666667,0.25,0
Neil Seery,7/16/2017,0,Flyweight,MALE,2,3,14,-1,-3,10,6.66666667,-0.333333333,-0.711666667,0
Galore Bofando,7/16/2017,1,Welterweight,MALE,0,-1,-1,0,-1,-1,-2,0,0,0
Daniel Teymur,7/16/2017,0,Lightweight,MALE,0,0,0,-7,-4,1,0,0,0,0
Albert Morales,7/16/2017,0,Bantamweight,MALE,0,2,5,2,1,1,2,0,-10.72333333,0
Amanda Lemos,7/16/2017,0,Women's Bantamweight,FEMALE,-3,-3,-13,-5,-1,-4,-62.66666667,0,0,0
Robert Whittaker,7/8/2017,1,Middleweight,MALE,1,2,3,0,0,-14,14.75,0,-1.352272727,0
Alistair Overeem,7/8/2017,1,Heavyweight,MALE,-2,1,-6,0,3,-2,-12.87121212,-0.159090909,-0.272727273,34
Curtis Blaydes,7/8/2017,1,Heavyweight,MALE,-3,-2,-15,4,6,-8,-1.45833333,-0.125,0.153333333,18
Jim Miller,7/8/2017,0,Lightweight,MALE,11,4,34,-2,-1,3,-3.25874126,1.136363636,-0.116608391,-15
Douglas Silva de Andrade,7/8/2017,0,Bantamweight,MALE,-1,0,2,-1,-3,2,13.5,-0.25,-0.166666667,0
Aleksei Oleinik,7/8/2017,1,Heavyweight,MALE,-6,-6,-23,-4,1,6,-13.3125,0.875,-0.42,-15
Brian Camozzi,7/8/2017,0,Welterweight,MALE,-4,-1,-12,4,7,-4,-37.83333333,1,-0.666666667,0
Gerald Meerschaert,7/8/2017,0,Middleweight,MALE,-4,-4,-13,-1,1,-4,-9.1,1,-0.2,-20
Belal Muhammad,7/8/2017,1,Welterweight,MALE,-1,-1,-2,-1,-1,1,24.25,0,-0.816666667,0
Terrion Ware,7/8/2017,0,Featherweight,MALE,0,0,0,2,7,4,0,0,0,0
James Bochnovic,7/8/2017,0,Light Heavyweight,MALE,0,0,0,4,7,4,0,0,0,20
Justin Gaethje,7/7/2017,1,Lightweight,MALE,-9,-7,-40,1,-3,-3,-42.6875,-0.0625,-0.4375,10
Jesse Taylor,7/7/2017,1,Welterweight,MALE,-1,-2,-5,-2,-1,6,-18,-1,-1.17,0
Nick Roehrick,7/7/2017,0,Light Heavyweight,MALE,-2,-2,-8,3,-2,-3,-29.25,0,0,20
Elias Theodorou,7/7/2017,0,Middleweight,MALE,-4,-3,-18,0,1,0,3.84615385,0,-0.703589744,0
Marcel Fortuna,7/7/2017,0,Light Heavyweight,MALE,0,0,-2,-1,-5,3,-24,-2,-4,0
Ashley Yoder,7/7/2017,0,Women's Strawweight,FEMALE,-1,-2,-7,4,5,-3,-14.75,0,0.5,0
Tom Gallicchio,7/7/2017,0,Welterweight,MALE,-4,-3,-15,-4,0,-1,-48.85714286,-0.571428571,-0.571428571,0
CB Dollaway,7/7/2017,1,Light Heavyweight,MALE,-1,-1,-8,1,-1,-3,-5.6873065,-0.154798761,-1.219814241,-20
Juliana Lima,7/7/2017,0,Women's Strawweight,FEMALE,-1,1,0,4,5,8,-37,0,-0.404,0
